,emotion,sentence,label,tokenized_sentence,cleaned_tokens
64,E68,취업해서 너무 신이 나!,1,"['취업', '##해서', '너무', '신이', '나', '!']","['취업', '너무', '신이', '나']"
65,E68,오늘 사장님께 칭찬받아서 매우 기뻐.,1,"['오늘', '사장님', '##께', '칭찬', '##받아서', '매우', '기뻐', '.']","['오늘', '사장님', '칭찬', '매우', '기뻐']"
66,E68,지난주에 정말 가고 싶던 회사에 원서 접수했는데 합격했어. 매우 기뻐.,1,"['지난주', '##에', '정말', '가고', '싶', '##던', '회사에', '원', '##서', '접수', '##했는데', '합격', '##했어', '.', '매우', '기뻐', '.']","['지난주', '정말', '가고', '싶', '회사에', '원', '접수', '합격', '매우', '기뻐']"
77,E67,나 드디어 원하는 회사에 취업했어!,1,"['나', '드디어', '원하는', '회사에', '취업', '##했어', '!']","['나', '드디어', '원하는', '회사에', '취업']"
99,E69,나 오늘 네이버 인턴 면접 봤는데 내가 봐도 잘 본 것 같아.,1,"['나', '오늘', '네이버', '인턴', '면접', '봤는데', '내가', '봐도', '잘', '본', '것', '같아', '.']","['나', '오늘', '네이버', '인턴', '면접', '봤는데', '내가', '봐도', '잘', '본', '것', '같아']"
100,E60,결혼한 지 삼 년 만에 아이를 낳았어. 진짜 기뻐.,1,"['결혼', '##한', '지', '삼', '년', '만에', '아이를', '낳', '##았', '##어', '.', '진짜', '기뻐', '.']","['결혼', '지', '삼', '년', '만에', '아이를', '낳', '진짜', '기뻐']"
111,E65,그녀가 나에게 사귀자고 고백했어. 나도 원하고 있었는데 지금 기분이 너무 좋아.,1,"['그녀가', '나에게', '사귀', '##자고', '고백', '##했어', '.', '나도', '원', '##하고', '있었는데', '지금', '기분이', '너무', '좋아', '.']","['그녀가', '나에게', '사귀', '고백', '나도', '원', '있었는데', '지금', '기분이', '너무', '좋아']"
113,E69,나 최근에 면접 본 회사가 세 곳인데 왠지 다 붙을 것 같아. 이번에는 자신 있어!,1,"['나', '최근에', '면접', '본', '회사가', '세', '곳인데', '왠지', '다', '붙', '##을', '것', '같아', '.', '이번에는', '자신', '있어', '!']","['나', '최근에', '면접', '본', '회사가', '세', '곳인데', '왠지', '다', '붙', '것', '같아', '이번에는', '자신', '있어']"
114,E67,나 그래도 다행인 부분이 첫 연애를 좋게 시작해서 좋은 것 같아.,1,"['나', '그래도', '다행', '##인', '부분이', '첫', '연애', '##를', '좋게', '시작해서', '좋은', '것', '같아', '.']","['나', '그래도', '다행', '부분이', '첫', '연애', '좋게', '시작해서', '좋은', '것', '같아']"
115,E69,나 이번에 지원한 회사 최종합격할 것 같은 기분이 들어!,1,"['나', '이번에', '지원', '##한', '회사', '최종', '##합', '##격', '##할', '것', '같은', '기분이', '들어', '!']","['나', '이번에', '지원', '회사', '최종', '것', '같은', '기분이', '들어']"
116,E60,나 드디어 유튜브 십만 구독자에 도달했어!,1,"['나', '드디어', '유튜브', '십', '##만', '구독', '##자에', '도달', '##했어', '!']","['나', '드디어', '유튜브', '십', '구독', '도달']"
118,E69,나 몇 년 동안 신입으로만 다니던 회사에서 정식 사원으로 승진했어!,1,"['나', '몇', '년', '동안', '신입', '##으로만', '다니던', '회사에서', '정식', '사원', '##으로', '승진', '##했어', '!']","['나', '몇', '년', '동안', '신입', '다니던', '회사에서', '정식', '사원', '승진']"
119,E69,나 몇 년 동안 신입으로만 다니던 회사에서 정식 사원으로 승진했어.,1,"['나', '몇', '년', '동안', '신입', '##으로만', '다니던', '회사에서', '정식', '사원', '##으로', '승진', '##했어', '.']","['나', '몇', '년', '동안', '신입', '다니던', '회사에서', '정식', '사원', '승진']"
135,E63,나는 요즘 대인관계가 편안해.,1,"['나는', '요즘', '대인', '##관계가', '편안', '##해', '.']","['나는', '요즘', '대인', '편안']"
136,E69,나는 이성에 대해 자신감 넘쳐. 나는 너무 멋있는 것 같아.,1,"['나는', '이성', '##에', '대해', '자신감', '넘쳐', '.', '나는', '너무', '멋', '##있는', '것', '같아', '.']","['나는', '이성', '대해', '자신감', '넘쳐', '나는', '너무', '멋', '것', '같아']"
146,E62,난 나를 믿어. 그래서 취업난에도 굴하지 않고 끊임없이 입사 지원을 하고 있어.,1,"['난', '나를', '믿어', '.', '그래서', '취업', '##난', '##에도', '굴', '##하지', '않고', '끊임없이', '입사', '지원을', '하고', '있어', '.']","['난', '나를', '믿어', '그래서', '취업', '굴', '않고', '끊임없이', '입사', '지원을', '하고', '있어']"
147,E66,난 사람들 만나는 것보다 집에 혼자 있는 게 더 좋은데 대인관계가 꼭 필요할까?,1,"['난', '사람들', '만나는', '것보다', '집에', '혼자', '있는', '게', '더', '좋은데', '대인', '##관계가', '꼭', '필요할', '##까', '?']","['난', '사람들', '만나는', '것보다', '집에', '혼자', '있는', '게', '더', '좋은데', '대인', '꼭', '필요할']"
150,E66,남들은 취업 때문에 정신없을 텐데 나는 마음이 느긋해,1,"['남', '##들은', '취업', '때문에', '정신', '##없을', '텐데', '나는', '마음이', '느', '##긋', '##해']","['남', '취업', '때문에', '정신', '텐데', '나는', '마음이', '느']"
151,E67,내 여자친구가 바람이 난 것 같아서 의심했어.,1,"['내', '여자친구', '##가', '바람이', '난', '것', '같아서', '의심', '##했어', '.']","['내', '여자친구', '바람이', '난', '것', '같아서', '의심']"
152,E69,내 여자친구가 프러포즈를 받아줄 것 같은 확신이 들어.,1,"['내', '여자친구', '##가', '프', '##러', '##포즈', '##를', '받아', '##줄', '것', '같은', '확신', '##이', '들어', '.']","['내', '여자친구', '프', '받아', '것', '같은', '확신', '들어']"
171,E69,내가 좋아하는 사람이 있는데 오늘 고백을 할 거야. 그런데 왠지 느낌이 좋아.,1,"['내가', '좋아하는', '사람이', '있는데', '오늘', '고백', '##을', '할', '거야', '.', '그런데', '왠지', '느낌이', '좋아', '.']","['내가', '좋아하는', '사람이', '있는데', '오늘', '고백', '할', '거야', '그런데', '왠지', '느낌이', '좋아']"
174,E68,내가 친해지고 싶은 사람과 전화번호를 교환했어.,1,"['내가', '친', '##해지고', '싶은', '사람과', '전화번호', '##를', '교환', '##했어', '.']","['내가', '친', '싶은', '사람과', '전화번호', '교환']"
181,E63,대표님이 나를 갑자기 따로 부르더니 나에게 대학원을 보내주겠다는 제안을 했어. 나를 한 단계 더 발전시킬 기회라 너무 기뻐.,1,"['대표', '##님이', '나를', '갑자기', '따로', '부르', '##더니', '나에게', '대학원', '##을', '보내주', '##겠다는', '제안을', '했어', '.', '나를', '한', '단계', '더', '발전', '##시킬', '기회', '##라', '너무', '기뻐', '.']","['대표', '나를', '갑자기', '따로', '부르', '나에게', '대학원', '보내주', '제안을', '했어', '나를', '한', '단계', '더', '발전', '기회', '너무', '기뻐']"
182,E66,대학수학능력시험을 잘 봐서 서울대에 지원했어.,1,"['대학', '##수학', '##능력', '##시험', '##을', '잘', '봐서', '서울대', '##에', '지원', '##했어', '.']","['대학', '잘', '봐서', '서울대', '지원']"
186,E63,독립해서 산 지 오래되다 보니 늘 외로웠거든. 결혼하니까 항상 날 기다려주는 사람이 있다는 것에 집에 가는 것이 즐거워.,1,"['독립', '##해서', '산', '지', '오래', '##되', '##다', '보니', '늘', '외로', '##웠', '##거든', '.', '결혼', '##하니까', '항상', '날', '기다려', '##주는', '사람이', '있다는', '것에', '집에', '가는', '것이', '즐거워', '.']","['독립', '산', '지', '오래', '보니', '늘', '외로', '결혼', '항상', '날', '기다려', '사람이', '있다는', '것에', '집에', '가는', '것이', '즐거워']"
191,E66,동업하는 친구가 내게 부탁한 일이 있는데 거의 다 해서 느긋하게 마무리하는 중이야.,1,"['동', '##업', '##하는', '친구가', '내게', '부탁', '##한', '일이', '있는데', '거의', '다', '해서', '느', '##긋하게', '마무리', '##하는', '중이', '##야', '.']","['동', '친구가', '내게', '부탁', '일이', '있는데', '거의', '다', '해서', '느', '마무리', '중이']"
199,E62,부하직원이 있는데 너무 일도 잘하고 신뢰가 가.,1,"['부하', '##직원', '##이', '있는데', '너무', '일도', '잘하고', '신뢰가', '가', '.']","['부하', '있는데', '너무', '일도', '잘하고', '신뢰가', '가']"
207,E65,삼 년 동안 준비한 자격증 시험 드디어 합격했어. 눈물 난다.,1,"['삼', '년', '동안', '준비한', '자격증', '시험', '드디어', '합격', '##했어', '.', '눈물', '난다', '.']","['삼', '년', '동안', '준비한', '자격증', '시험', '드디어', '합격', '눈물', '난다']"
213,E60,서먹서먹했던 친구에게서 어젯밤에 연락이 왔어!,1,"['서', '##먹', '##서', '##먹', '##했던', '친구에게', '##서', '어', '##젯', '##밤에', '연락이', '왔', '##어', '!']","['서', '친구에게', '어', '연락이', '왔']"
218,E62,신뢰하는 친구가 있는데 내가 돈을 빌려줬어.,1,"['신뢰', '##하는', '친구가', '있는데', '내가', '돈을', '빌려', '##줬', '##어', '.']","['신뢰', '친구가', '있는데', '내가', '돈을', '빌려']"
224,E61,아내가 출산을 무사히 해줘서 기분이 좋아.,1,"['아내가', '출산', '##을', '무사히', '해줘서', '기분이', '좋아', '.']","['아내가', '출산', '무사히', '해줘서', '기분이', '좋아']"
237,E67,어제 실수로 삭제해버린 프레젠테이션 자료를 드디어 복구했어. 회의 시간에 겨우 맞춘 것 같아.,1,"['어제', '실수로', '삭제', '##해', '##버린', '프레', '##젠', '##테이션', '자료를', '드디어', '복구', '##했어', '.', '회의', '시간에', '겨우', '맞춘', '것', '같아', '.']","['어제', '실수로', '삭제', '프레', '자료를', '드디어', '복구', '회의', '시간에', '겨우', '맞춘', '것', '같아']"
238,E61,어제 아내가 건강하게 출산을 했어. 너무나 감사한 마음이야.,1,"['어제', '아내가', '건강하게', '출산', '##을', '했어', '.', '너무나', '감사한', '마음이', '##야', '.']","['어제', '아내가', '건강하게', '출산', '했어', '너무나', '감사한', '마음이']"
255,E65,여자친구가 임신이 되기 힘든 몸이라 그랬었는데 임신이 된 거 있지? 기분 좋아서 어떻게 해야 될지 모르겠어.,1,"['여자친구', '##가', '임신', '##이', '되기', '힘든', '몸이', '##라', '그랬', '##었는데', '임신', '##이', '된', '거', '있지', '?', '기분', '좋아서', '어떻게', '해야', '될지', '모르겠', '##어', '.']","['여자친구', '임신', '되기', '힘든', '몸이', '그랬', '임신', '된', '거', '있지', '기분', '좋아서', '어떻게', '해야', '될지', '모르겠']"
270,E68,오늘 기쁜 소식이 있어. 몇 년 동안 준비해왔던 공무원 시험에 합격했어.,1,"['오늘', '기쁜', '소식이', '있어', '.', '몇', '년', '동안', '준비해', '##왔던', '공무원', '시험', '##에', '합격', '##했어', '.']","['오늘', '기쁜', '소식이', '있어', '몇', '년', '동안', '준비해', '공무원', '시험', '합격']"
272,E64,오늘 발표를 정말 잘한 것 같아!,1,"['오늘', '발표를', '정말', '잘한', '것', '같아', '!']","['오늘', '발표를', '정말', '잘한', '것', '같아']"
286,E64,오랜 기간 연애하다가 결혼에 골인해서 만족감이 들어.,1,"['오랜', '기간', '연애', '##하다가', '결혼', '##에', '골', '##인해', '##서', '만족', '##감이', '들어', '.']","['오랜', '기간', '연애', '결혼', '골', '만족', '들어']"
288,E65,와! 정말 신난다. 내일 여자친구랑 첫 데이트가 예정되어있어.,1,"['와', '!', '정말', '신난', '##다', '.', '내일', '여자친구', '##랑', '첫', '데이트', '##가', '예정', '##되어', '##있어', '.']","['와', '정말', '신난', '내일', '여자친구', '첫', '데이트', '예정']"
292,E62,요즘 사람들 만나고 다니는 게 너무 행복해!,1,"['요즘', '사람들', '만나고', '다니는', '게', '너무', '행복해', '!']","['요즘', '사람들', '만나고', '다니는', '게', '너무', '행복해']"
293,E66,요즘은 크게 고민도 없고 평온해. 이런 기분 좋다.,1,"['요즘은', '크게', '고민', '##도', '없고', '평온', '##해', '.', '이런', '기분', '좋다', '.']","['요즘은', '크게', '고민', '없고', '평온', '이런', '기분', '좋다']"
294,E60,우리 직렬이 드디어 직고용됐어. 오랜 기간 싸워왔는데 결국 원하는 결과를 얻어서 다행이야.,1,"['우리', '직', '##렬', '##이', '드디어', '직', '##고', '##용', '##됐', '##어', '.', '오랜', '기간', '싸워', '##왔는데', '결국', '원하는', '결과를', '얻어', '##서', '다행이', '##야', '.']","['우리', '직', '드디어', '직', '오랜', '기간', '싸워', '결국', '원하는', '결과를', '얻어', '다행이']"
296,E61,이 취업난에 취업하게 되었어. 나에게 기회를 준 이 회사에 감사해.,1,"['이', '취업', '##난', '##에', '취업', '##하게', '되었', '##어', '.', '나에게', '기회를', '준', '이', '회사에', '감사', '##해', '.']","['이', '취업', '취업', '되었', '나에게', '기회를', '준', '이', '회사에', '감사']"
298,E61,이번 달 생활비가 모자라 곤란했는데 다행히 해결됐어.,1,"['이번', '달', '생활', '##비가', '모자라', '곤란', '##했는데', '다행히', '해결', '##됐', '##어', '.']","['이번', '달', '생활', '모자라', '곤란', '다행히', '해결']"
299,E60,이번 연극에서 내 친구가 감독으로 데뷔를 하더라고.,1,"['이번', '연극', '##에서', '내', '친구가', '감독', '##으로', '데뷔', '##를', '하', '##더라고', '.']","['이번', '연극', '내', '친구가', '감독', '데뷔', '하']"
301,E67,이번 직장은 나랑 잘 맞아서 다행이야. 업무도 재밌고 동료들도 좋아.,1,"['이번', '직장', '##은', '나랑', '잘', '맞아서', '다행이', '##야', '.', '업무', '##도', '재밌', '##고', '동료', '##들도', '좋아', '.']","['이번', '직장', '나랑', '잘', '맞아서', '다행이', '업무', '재밌', '동료', '좋아']"
302,E62,이번에 내가 들어가고 싶은 기업에서 근무하는 선배로부터 취업에 대한 피드백을 받았어. 너무 기뻐!,1,"['이번에', '내가', '들어가고', '싶은', '기업에', '##서', '근무하는', '선배', '##로부터', '취업', '##에', '대한', '피드', '##백을', '받았', '##어', '.', '너무', '기뻐', '!']","['이번에', '내가', '들어가고', '싶은', '기업에', '근무하는', '선배', '취업', '대한', '피드', '받았', '너무', '기뻐']"
303,E68,이번에 드디어 취업이 됐어. 날아갈 것만 같은 기분이야.,1,"['이번에', '드디어', '취업', '##이', '됐', '##어', '.', '날아', '##갈', '것만', '같은', '기분이', '##야', '.']","['이번에', '드디어', '취업', '됐', '날아', '것만', '같은', '기분이']"
323,E66,아프긴 해도 혼자 사니까 다른 사람 신경 쓰지 않아도 되고 모은 돈으로 살 수 있어서 좋아.,1,"['아프', '##긴', '해도', '혼자', '사', '##니까', '다른', '사람', '신경', '쓰지', '않아도', '되고', '모은', '돈으로', '살', '수', '있어서', '좋아', '.']","['아프', '해도', '혼자', '사', '다른', '사람', '신경', '쓰지', '않아도', '되고', '모은', '돈으로', '살', '수', '있어서', '좋아']"
324,E66,경제적으로 여유 있어 아픈 것만 빼면 삶이 너무 즐거워.,1,"['경제적으로', '여유', '있어', '아픈', '것만', '빼면', '삶이', '너무', '즐거워', '.']","['경제적으로', '여유', '있어', '아픈', '것만', '빼면', '삶이', '너무', '즐거워']"
325,E66,건강 검진을 받아도 경제적으로 여유로워 마음이 편해.,1,"['건강', '검', '##진을', '받아', '##도', '경제적으로', '여유', '##로워', '마음이', '편해', '.']","['건강', '검', '받아', '경제적으로', '여유', '마음이', '편해']"
326,E66,만성 질환을 앓고 있어도 경제적으로 여유로워 약값 걱정이 안 돼.,1,"['만성', '질환', '##을', '앓고', '있어도', '경제적으로', '여유', '##로워', '약', '##값', '걱정이', '안', '돼', '.']","['만성', '질환', '앓고', '있어도', '경제적으로', '여유', '약', '걱정이', '안', '돼']"
327,E66,아들이 병원 갈 때 함께 가주고 병원비도 내줘서 너무 든든해.,1,"['아들이', '병원', '갈', '때', '함께', '가', '##주고', '병원', '##비도', '내', '##줘서', '너무', '든든', '##해', '.']","['아들이', '병원', '갈', '때', '함께', '가', '병원', '내', '너무', '든든']"
328,E66,내가 가지고 있는 질환은 보험이 잘 돼서 다행이야. 친구는 질병 보험이 안 돼서 돈이 많이 든다더라고.,1,"['내가', '가지고', '있는', '질환', '##은', '보험', '##이', '잘', '돼서', '다행이', '##야', '.', '친구는', '질병', '보험', '##이', '안', '돼서', '돈이', '많이', '든다', '##더라고', '.']","['내가', '가지고', '있는', '질환', '보험', '잘', '돼서', '다행이', '친구는', '질병', '보험', '안', '돼서', '돈이', '많이', '든다']"
329,E66,나는 앞으로 건강 관리에 최선을 다할 거야. 돈 걱정은 없어서 많은 투자를 할 수 있어.,1,"['나는', '앞으로', '건강', '관리에', '최선을', '다', '##할', '거야', '.', '돈', '걱정은', '없어서', '많은', '투자를', '할', '수', '있어', '.']","['나는', '앞으로', '건강', '관리에', '최선을', '다', '거야', '돈', '걱정은', '없어서', '많은', '투자를', '할', '수', '있어']"
330,E66,나는 예전부터 세계 여행이 내 꿈이었어. 만성 질환이 치료만 된다면 내 꿈을 이룰 거야.,1,"['나는', '예전부터', '세계', '여행이', '내', '꿈이', '##었어', '.', '만성', '질환', '##이', '치료', '##만', '된다면', '내', '꿈을', '이룰', '거야', '.']","['나는', '예전부터', '세계', '여행이', '내', '꿈이', '만성', '질환', '치료', '된다면', '내', '꿈을', '이룰', '거야']"
331,E66,자식들이 그래도 잘 풀려서 경제적으로 넉넉해서 다행이야. 경제적으로 기댈 수 있어서 많은 도움이 돼.,1,"['자식', '##들이', '그래도', '잘', '풀려', '##서', '경제적으로', '넉넉해서', '다행이', '##야', '.', '경제적으로', '기', '##댈', '수', '있어서', '많은', '도움이', '돼', '.']","['자식', '그래도', '잘', '풀려', '경제적으로', '넉넉해서', '다행이', '경제적으로', '기', '수', '있어서', '많은', '도움이', '돼']"
332,E66,암에 걸리고 나니 욕심이 많이 줄어들어. 수술 후 도시를 떠나 전원생활을 하려고 해.,1,"['암', '##에', '걸리고', '나니', '욕심이', '많이', '줄어들', '##어', '.', '수술', '후', '도시를', '떠나', '전원', '##생활을', '하려고', '해', '.']","['암', '걸리고', '나니', '욕심이', '많이', '줄어들', '수술', '후', '도시를', '떠나', '전원', '하려고', '해']"
333,E66,만성 질환은 악화되지만 않으면 관리하며 오래오래 지낼 수 있어.,1,"['만성', '질환', '##은', '악화', '##되지만', '않으면', '관리', '##하며', '오래오래', '지낼', '수', '있어', '.']","['만성', '질환', '악화', '않으면', '관리', '오래오래', '지낼', '수', '있어']"
334,E69,나는 워낙 활발한 성격이라 항상 친구가 많았어.,1,"['나는', '워낙', '활발한', '성격이', '##라', '항상', '친구가', '많았', '##어', '.']","['나는', '워낙', '활발한', '성격이', '항상', '친구가', '많았']"
335,E69,나는 워낙 친구가 많아서 아마도 이 동네에서 나를 모르는 사람은 아무도 없을 거야.,1,"['나는', '워낙', '친구가', '많아서', '아마도', '이', '동네', '##에서', '나를', '모르는', '사람은', '아무도', '없을', '거야', '.']","['나는', '워낙', '친구가', '많아서', '아마도', '이', '동네', '나를', '모르는', '사람은', '아무도', '없을', '거야']"
336,E69,우리 마을은 텃세가 전혀 없어. 새로운 이주민들이 와도 모두 잘 어울리는 게 우리 마을 사람들의 장점이야.,1,"['우리', '마을', '##은', '텃', '##세가', '전혀', '없어', '.', '새로운', '이주', '##민', '##들이', '와도', '모두', '잘', '어울리는', '게', '우리', '마을', '사람들의', '장점이', '##야', '.']","['우리', '마을', '텃', '전혀', '없어', '새로운', '이주', '와도', '모두', '잘', '어울리는', '게', '우리', '마을', '사람들의', '장점이']"
337,E69,나는 우리 노인정의 스타야. 그 이유는 내가 생각해도 나는 유머 감각이 넘쳐.,1,"['나는', '우리', '노인', '##정의', '스타', '##야', '.', '그', '이유는', '내가', '생각해도', '나는', '유머', '감각이', '넘쳐', '.']","['나는', '우리', '노인', '스타', '그', '이유는', '내가', '생각해도', '나는', '유머', '감각이', '넘쳐']"
338,E69,나는 오래된 친구들이 많아. 지금 친한 친구들도 몇십 년은 된 친구들이야.,1,"['나는', '오래된', '친구들이', '많아', '.', '지금', '친한', '친구들도', '몇', '##십', '년', '##은', '된', '친구들이', '##야', '.']","['나는', '오래된', '친구들이', '많아', '지금', '친한', '친구들도', '몇', '년', '된', '친구들이']"
339,E69,나는 이렇게 순수한 사람들은 처음 봤어. 이 동네 사람들과 평생 화목하게 지내고 싶어.,1,"['나는', '이렇게', '순수한', '사람들은', '처음', '봤', '##어', '.', '이', '동네', '사람들과', '평생', '화', '##목', '##하게', '지내고', '싶어', '.']","['나는', '이렇게', '순수한', '사람들은', '처음', '봤', '이', '동네', '사람들과', '평생', '화', '지내고', '싶어']"
340,E69,우리 동네 청년들은 너무 착해. 이렇게 우리 노인들을 위해 봉사하는 청년들은 아마 다른 동네에는 없을 거야.,1,"['우리', '동네', '청년', '##들은', '너무', '착', '##해', '.', '이렇게', '우리', '노인', '##들을', '위해', '봉사', '##하는', '청년', '##들은', '아마', '다른', '동네', '##에는', '없을', '거야', '.']","['우리', '동네', '청년', '너무', '착', '이렇게', '우리', '노인', '위해', '봉사', '청년', '아마', '다른', '동네', '없을', '거야']"
341,E69,나는 성격이 좋아서 사람들하고 잘 어울려. 우리 동네에서 나만큼 사람들과 잘 지내는 사람은 없을 거야.,1,"['나는', '성격이', '좋아서', '사람들', '##하고', '잘', '어울려', '.', '우리', '동네', '##에서', '나만', '##큼', '사람들과', '잘', '지내는', '사람은', '없을', '거야', '.']","['나는', '성격이', '좋아서', '사람들', '잘', '어울려', '우리', '동네', '나만', '사람들과', '잘', '지내는', '사람은', '없을', '거야']"
342,E69,나는 우리 동네 할머니랑 오랜 친구야. 옆집에 살고 있기도 하지.,1,"['나는', '우리', '동네', '할머니', '##랑', '오랜', '친구', '##야', '.', '옆', '##집에', '살고', '있기도', '하지', '.']","['나는', '우리', '동네', '할머니', '오랜', '친구', '옆', '살고', '있기도', '하지']"
343,E69,나는 예전부터 옷에 관심이 많았어. 지금도 시내에 나가면 다들 옷 어디서 샀냐고 물어봐.,1,"['나는', '예전부터', '옷에', '관심이', '많았', '##어', '.', '지금도', '시내', '##에', '나가면', '다들', '옷', '어디서', '샀', '##냐고', '물어', '##봐', '.']","['나는', '예전부터', '옷에', '관심이', '많았', '지금도', '시내', '나가면', '다들', '옷', '어디서', '샀', '물어']"
344,E69,우리 지역에서 이번에 노래자랑이 열리는데 내가 동네 사람들에게 입상할 거라고 말했어.,1,"['우리', '지역에서', '이번에', '노래', '##자랑', '##이', '열리는', '##데', '내가', '동네', '사람들에게', '입', '##상', '##할', '거라고', '말', '##했어', '.']","['우리', '지역에서', '이번에', '노래', '열리는', '내가', '동네', '사람들에게', '입', '거라고', '말']"
345,E69,나는 이 지역 토박이야. 어릴 때부터 여기에서만 살아서 나만큼 우리 동네의 역사를 아는 사람은 없지.,1,"['나는', '이', '지역', '토', '##박이', '##야', '.', '어릴', '때부터', '여기에서', '##만', '살아서', '나만', '##큼', '우리', '동네', '##의', '역사를', '아는', '사람은', '없지', '.']","['나는', '이', '지역', '토', '어릴', '때부터', '여기에서', '살아서', '나만', '우리', '동네', '역사를', '아는', '사람은', '없지']"
405,E62,같이 일하는 친구와는 이십 년 넘은 사이라 안심하고 무슨 일이든지 맡길 수 있어.,1,"['같이', '일하는', '친구와', '##는', '이십', '년', '넘은', '사이', '##라', '안심하고', '무슨', '일이', '##든지', '맡길', '수', '있어', '.']","['같이', '일하는', '친구와', '이십', '년', '넘은', '사이', '안심하고', '무슨', '일이', '맡길', '수', '있어']"
406,E62,요즘 코로나가 유행해서 매출이 떨어지고 있지만 금방 안정될 거라고 믿고 있어.,1,"['요즘', '코로나가', '유행', '##해서', '매출이', '떨어지고', '있지만', '금방', '안정', '##될', '거라고', '믿고', '있어', '.']","['요즘', '코로나가', '유행', '매출이', '떨어지고', '있지만', '금방', '안정', '거라고', '믿고', '있어']"
407,E62,자식들 교육에 아낌없이 지원해서 그런지 다들 좋은 직장에 자리를 잘 잡은 것 같아서 기분이 좋아.,1,"['자식', '##들', '교육에', '아낌없이', '지원해', '##서', '그런지', '다들', '좋은', '직장', '##에', '자리를', '잘', '잡은', '것', '같아서', '기분이', '좋아', '.']","['자식', '교육에', '아낌없이', '지원해', '그런지', '다들', '좋은', '직장', '자리를', '잘', '잡은', '것', '같아서', '기분이', '좋아']"
408,E62,좋은 거래처들과 많이 알고 지내다 보니 사업 수완이 좋다는 이야기를 듣곤 해.,1,"['좋은', '거래', '##처', '##들과', '많이', '알고', '지내', '##다', '보니', '사업', '수', '##완', '##이', '좋다는', '이야기를', '듣', '##곤', '해', '.']","['좋은', '거래', '많이', '알고', '지내', '보니', '사업', '수', '좋다는', '이야기를', '듣', '해']"
409,E62,그동안의 힘든 날들에도 언제나 집안일과 가정의 경제를 책임져 준 아내에게 고마워.,1,"['그동안', '##의', '힘든', '날', '##들에', '##도', '언제나', '집안', '##일과', '가정의', '경제를', '책임', '##져', '준', '아내', '##에게', '고마워', '.']","['그동안', '힘든', '날', '언제나', '집안', '가정의', '경제를', '책임', '준', '아내', '고마워']"
410,E62,나도 직원들을 믿고 직원들도 나를 믿고 따라준 덕분에 회사가 잘 되었다고 생각해.,1,"['나도', '직원', '##들을', '믿고', '직원', '##들도', '나를', '믿고', '따라', '##준', '덕분에', '회사가', '잘', '되었다고', '생각해', '.']","['나도', '직원', '믿고', '직원', '나를', '믿고', '따라', '덕분에', '회사가', '잘', '되었다고', '생각해']"
