,emotion,generated_sentence
52,E65, 그러더니 서울대 의과대학에 들어가더니 의사가 되고 싶어서 서울대 법대로 진학해요. 그래서 의사가 됐대.” “의사라면 뭐라도 되는 거죠”라고 웃으면서 말을 건넸다.</d> 이번에 새로
53,E67," 내가 지금 이게 <unk>냐, 뭘 찾고 있는 거야?
내가 뭘 찾냐? 그걸 찾으러 가.
그냥 가자.
아무튼 그거 알아.
"
54,E67, 그 후로도 자주 병원을 다녔는데 요즘에야 그~ 내가 좀 나아졌어. 그 이후로 계속 좀 좋아졌었잖. 그니까 내가 좀 더 좋아졌다는 거지. 그
55,E69," 하지만 나는 공부도 못해서 결국 부모님의 도움을 받지 못했어""
그렇게 해서 그는 어느 날, 한 가지 결심을 한다.
'아직까지 내가 원하는 것이 무엇이었는가' 라는 생각"
56,E60,""" 라고 외쳤다. #</d> 서울 - 서울 - 한국시간 오전 8시30분 00시(현지시시간)부터 시작된 미국 워싱턴에서 열린 제2차 핵 안보회의 (일명 다크 투게더는) 이날 오전"
57,E60," 내일은 또 <unk>니까, 아~ 아유!! 괜히 내일을 생각했구나?""
그녀의 말에 나는 깜짝 놀랄 수 있는 표정으로 웃었다.
아니나야?"
58,E64," 내가 봤더니 이번에 그게 좋은 성적으로 끝났더라고.
아무튼 내가 그거 다 보고 나서 이번에 봤을 때도 좋은 결과가 나와서 좋더라는 거지 뭐 이런 식으로 하면"
59,E63,"</d> ᄏ~ᄏ
오늘의 첫 사진은 `#셀카그램 _.
<unk>beefe.do _
"
60,E68, 그래서 그걸 어떻게 하면 좋아하죠? 어. 그~ 이~ 그~ 어르신에 대한 예~ 이런 그 어 어~ 뭐~ 그~ 뭐랄까요. 뭐라구요.
61,E68," 난 그 댁에 대해 너무 많이 알아.""
나는 그의 손을 잡았다.
그는 내게서 눈길을 돌리기 시작했다.
그의 손은 나의 손에 이끌려서 내 손에 잡히고 있었다.
""그 <unk>이 뭐라구요. 내가 왜"
62,E66," 내가 이걸 잘할 수 있겠느냐고.""
""아냐, 잘할 거라고 생각하진 말아줘. 하지만 난 너의 재능을 믿고 싶다. 네가 이 일을 하고 난 뒤 네 인생 전부를"
63,E67," 그래서 오늘도 좋은 기회로 만들어보자고 해서.""
이미지 메이킹도 하고.
나는 오늘 컨디가 좋았으니 내일을 기대한다며.
그날따라 컨디가 안좋은 것 같아서"
64,E61," 그 사람이 뭘 그렇게 많이 샀는지 알아. 그게 다 뭘 그렇게 많이 땄나 봐.
그게 그 사람하고 무슨 관계인지 모르겠네. 그 사람이 그 사람의"
65,E60," 그런데 이거 왠지 기분이 나빠져서 뭔가 씁쓸하고 아팠을 텐테.""
나는 그 말에 괜히 마음이 편해졌다.
""아무래도 그걸"
66,E60," 괜찮겠어.
나보고 뭔데 그런 얘기 하라고 그러는 건 아니니까.
아무튼 나보고는 나보다 훨씬 더"
67,E60," 그래서 그걸 듣고 내가 너무 기분 나쁘다고 말했어.” 김 대표도 “그래요.”라고 답했다”고 했다.
“나한테"
68,E67, 그게 그걸 어떻게 해야 될 거 같으면은 네네네 그게 그거랑 상관없잖니? 아하 아아아 그거는 이제 뭐야. 그거랑 무관해? 네네.
69,E60,".
그래, 나도 괜스레 걱정에 빠지더라고.</d> 저희집엔 저도 모르게 한 통 씩 들고왔습니다.
그런걸로 제가 봤을땐, 저"
70,E61," 내가 그걸 보고도 뭘 어쩌고 하는 걸 보고도 그거 안 봤는데.""
""아무 것도 아니었는데.""
아무도 대답하지 않았어.
""아무도 그건 알"
71,E61," 내가 이럴 수 있다는 것 때문에 정말 좋았어!""라고 말한다.
그리고 그는 또 다른 사람들에게는 자신이 얼마나 행복하고 힘 있고 행복하게 살고 있는지 보여줄 필요가 있다.
이"
72,E60," 어서 오세요.
아니 그 친구하고 얘길 해봤어요.
네. 근데, 이제 저한테 연락을 해야 될 때가 돼서 어떡해야 되겠어요.
어~ 저한테 연락해 보겠"
73,E60,"""
""이건 정말 재미있어! 우리도 이번에 우리끼리만 노는 건 처음이지. 하지만 그게 재미있고 재미있는 일이야.""
나는 친구들의 이야기에 귀를 기울이고는 그제부터 내 이야기를 들었다.
"
74,E60," 너한테 줬는데 내가 뭘 봤어. 괜찮은 거 같아.
너도 줬어.?
그랬구나..
나야 나 진짜"
75,E60," 그리고 나는 친구와 얘기가 잘 될 거야.""
""그래도 난 친구에게 너무 많은 이야기를 해줬지.
그럼 내가 친구에게 얼마나 큰 상처를 주는지는 알겠지?
""그렇게"
76,E66, 그걸 계기로 그~ 저기 저기 뭐 저희들이 그니까 뭐 그~ 뭐 그~ 저희가 인제 뭐 저~ 어플도 만들고 뭐 뭐 그~
77,E66," 내 말 들어봐!""
이미지 메이슨을 보고 있자, 나는 다시 고개를 들었다.
그리고는 내 앞에 섰다.
그리고 나는 천천히 내 옆에 서서 말했다.
"
78,E64," 그리고 이제 토익 시험은 내가 직접 해보고 싶은데 어차피가 그 토익을 어떻게 준비하고 있는지는 모르겠어.""
그때부터 토익 공부를 하고 싶었던 건"
79,E60," 그리고 그 친구가 나를 찾아왔을 때도 내 눈에는 친구는 없었거든, 그때는 나도 그때가 처음이지.
그래, 내가 친구는 아니었는데 그 친구가 나에게 찾아"
80,E60," 넌 내 인생 최고의 친구니까.'
아직까지도 나는 뭔가를 기대하고 있지.
하지만 그 기대감은 오래갈 수가 없다.
이제부터가 시작이니까 말이다.
아직은 그게 아니"
81,E64," 내가 봤던 회사 중에 뭘 하나 해봤으면 싶어서 한 거잖나.
그래, 나는 팀원들이야.
내가 그 회사 안에 있는 사람들 중에 한 사람이고 내가"
82,E64," 생일 선물을 받은 친구도 기분이 좋은데 그게 뭐냐고 묻자 ""그냥 축하할 뿐""이란 답이 돌아왔다.
"
83,E60," 그게 무슨 소리인지 모르겠어.
아무것도 모르는데 왜 그러는거야!""
그녀는 눈을 뜨고 주위를 살펴보며 중년 남자가 빤스런 얼굴들을 짓고 있었다.
아무리 보아도"
84,E62," 그 후로도 그 일을 꾸준히 이어갔고 그 덕분에 나는 지금 이 시간까지 이 자리를 빛냈다고 생각해.”
이러다 이번에 그 사"
85,E68, 그래서 그 친구가 내일부터 내 집에 가서 결혼식을 올려놓으면 좋았을 거야. 그리고 내가 결혼을 하면 내가 너한테도 선물할 수 있는 좋은 친구였
86,E68, 그리고 또 다른 회사에도 다니기로 했는데 어~ 그 회사에서 일을 할려고 하는데 어. 어. 어. 그 회사에서 일을 해야지.
87,E68," 근데 요즘은 <unk> 더 좋아져 가지고 그거 뭐지 뭐야? 뭘 좋아?
뭐가 더 좋을지.
뭐가 좋을까?
뭐가 좋으면 그게 좋겠지"
88,E68," 그래서 저도 그 얘길 듣고 나서 좀 놀랐다.
그때도 저도 이제 이~ 뭐 저기 이번에 그~ 뭐 우리 저기 저기서 이케 이게 그 얘기가"
89,E68," 그리고 또 친구들하고 제주도 가고 싶은 거 같은 거 되게 많던데, 그 친구가"
90,E60,"""
""어쩌면 저는 이게 무슨 말인지 알 수가 없어서 그냥 지나치지 못하는 것 같아서요. 그런데 저는 정말 감사하게 생각하고 있어요.” 나는 그제야 부모님은 나를 이렇게 말씀하신"
91,E69," 그거 때문에 그~ 이걸 좀 잘한 게 아니겠냐라고 생각하시는 건지 모르겠지만 어쨌든 이제 우리도 좀 더 적극적으로 해보자라는 거죠.
아니 근까 이거는 좀"
92,E69," 뭔가가 있어.""
아무리 해도 그게 다 뭐지? 하며 아빠의 어깨를 두드린 건 그였다.
그때 아저씨는 아저씨가 괜한 걱정에 그러"
93,E63," 내가 뭔가 해 줄 게 있다고 생각해? 내가 <unk>한테 해줄 건 괜데 그게 아니라 넌 내가 너에게 해 준 게 있어.
그럼 괜데 그니까 너한테 넌"
94,E63," 그리고는 내 말을 듣고 난 후 그 친구가 내게 말을 거는데. ""그렇지 않아. 내가 너를 얼마나 좋아하는지는 알아.""라며 웃으며 말을 건네줬어요.
그러"
95,E63, 그래서 나는 너에게 속아서 거짓말에 대해서 얘기도 안 하고 그냥 잤다. 그게 거짓말이라고. 그래서 거짓말에 대해 거짓말로 얘기를 해봤다. 그래서 너는 내가 속
96,E63," 내가 좋아하는 거니까. 그게 내가 좋아.
그런 게 있나 봐.
나는 내 동생이야. 너는 나대로. 그니까 나는"
97,E65,"""라고 말했다.
그러면서 <unk>는 ""내가 너랑 사귀는 것도, 내 친구랑 결혼할 일도 없을 테니 너는 너"
98,E65,"""
이런 식으로 말했더니 그녀는 고개를 숙인채 말했다.
그녀는 그 말에 대놓고 속상해서 견딜 수가 없다고 대답했다.
""그래? 그거야,"
99,E65, 그때는 그때 그 팬을 만나러 가려고 했지? 그때 그 때 그때 그 당시엔 내가 그때 당시에 내가 팬을 만나기 싫었던 게 있었나? 그래서 내가 가기로 했는데 내가
100,E65,"!
아니 근데, 이번에 개봉하는 영화 중에 이게 또 땡땡!!!
아직까지 개봉도 못 하고 있는데 괜시리 반가울 거 같애"
101,E65,"""라고 말하면서 그 친구도 '너무나 잘난' 친구였다고 말한다.
그 친구도 그 친구에 대해서는 별로 아는 것도 없고 그 친구를 잘 모르는 것은 아니지만 친구에게 잘해주지는 못하는 것 같"
102,E65," 그게 아니라 우리 집에 들어가야지. 그리고 우리 집을 봐. 그게 아니라.""
아빠는 부엌을 향해 소리치더니 방안으로 들어왔다.
아무"
103,E61, 우리도 그쪽 사정을 잘 알잖아. 우리 어머니께서 우리를 데리고 가주셨으면 하는 바랄 뿐이에
104,E61," 내가 임신 사실을 알았을 쯤, 나는 정말 기분 좋아졌지.
나는 내가 임신 사실을 알았을 떄 너무 행복했고 너무 감사했어.
"
105,E61," 하지만 내가 그걸 어떻게 해야 할지 모르겠네.""
""아니요. 그거야 제가 알다시피 난 내 친구니까요? 그리고 난 지금"
106,E61, 그래서 저기 저렇게 뭐 저거 괜히 좀 뭐 이런 게 있나? 뭐 저런 건 좀 많이 있나. 저게 뭐 저기 저게 뭐 저렇게 저게 좀 뭐 이런
107,E61," 그 친구한테서 너무 고마운 마음을 전하고 싶다고.
그 친구한테 고백을 한 거니까 고맙다는 인사부터 먼저 하는 거야"
108,E61," 난 당신을 사랑하지. 하지만 난 사랑하지 않아, 그 남자는 사랑하지. 난 그 남자, 내 남편. 그 남자의 사랑을 위해 나는 당신이 내"
109,E61," 아휴, 아이고! 아이고, 저게 무슨 일이지요? 어떡하지! 어머, 이거! 아휴, 이게 뭐하는 겁쟁이! 어휴 이 자식!""
""이"
110,E61," 감사하고 고모부에게 고마울게. 정말 행복하고 기쁜 소식이었지 뭐.""
""그렇지만 우리 엄마도 행복하세요, 우리 엄마"
111,E61," 그리고 이거 진짜 잘할 거라고 생각해서 너무 기대가 되더라.
그래서 그~ 결혼기념일이 되면 꼭 그분들 모시고 와"
112,E61,".
아니 그~ 뭐 이런 게 뭐가 있나? 라는 게 있거든.</d> 이게 지금 우리 그~ 이거 저희가 그거 저희들이 좀"
113,E60,"""
그녀는 이렇게 말하고서 ""나도 그렇게 생각한다""고 대답했다.
이번에는 내가 먼저 말을 꺼냈고, 그녀는 ""나랑 함께 있으면 정말 좋다.""라고 말하며 웃는 얼굴까지 보였다.
나는"
114,E60," ᄒ
아빠와 함께 햄스터도 팠고 햄스터랑 놀다가 <unk><unk>이 너무 귀여웠던 <unk>! <unk><unk>
#아빠"
115,E60,"""
그녀는 그 말에 기쁜 마음으로 눈을 뜨고는 말했다.
그때 갑자기 그녀가 눈을 크게 뜨자 그녀의 눈이 커졌다.
아마도 그 눈빛으로 그녀의 입술이 파르스름해지면서 눈알이 반들거리며"
116,E60,".""
이렇게 말하고 나서도 이 여자는 계속 울기만 했다.
아무런 말 없이 그녀의 얼굴을 바라보며 나 역시 울지 않고 울어 주었다.
아직도 이 여자 때문에 마음이 상하는 것을 느낄 수가 없었다.
"""
117,E60," 난 아기 낳았어.</d> 오늘(22일)이죠.
이런 날씨에 왠일인지 이게 또 무슨 날일까요?
어제도 저렇게 날씨가 좋"
118,E60," 그리고 그 아이를 낳으면 어때. 어머님은 그걸 안 아신단다. 그래서 아신다는 거죠?""
그렇게 말하고 나서 그녀는 다시 입을 열었다.
""그건 내가 아신다니까요?"
119,E60," 난 내 여자친구를 만나러 갈 수 있어.""
이미 그녀는 그제야, 자신의 마음을 알아주었고, 그녀의 마음을 이해했다.
이렇게 그녀가 행복해질 수 있는 것은, 그녀의 사랑이 그녀의 가슴에서 느껴지기 때문이다.
"
120,E64," 그~ 그까 그~ 여자 친구도 그~ 저도 뭐 그런 걸 좀 많이 느꼈거든?
네. 네~ 네네. 그~ 뭐 그거 되게 많이 좋아했었는데"
121,E64," <unk>가 남자랑 같이 놀다보면 진짜 좋아할 것 같아서.
그럼 뭔가가 뭘 할까 궁금하네?</d> 뭔가가 좀 더 잘할게??"
122,E64," 내가 지금 이걸 다 먹고 있는 것 같거든?""
아니, 내가 왜 그렇게 좋아하고 있는 걸까, 하는 생각에 나는 뭔가가 잘못되었음을 깨달아야만 한다.
""그래서 내가 지금 하고"
123,E64," 예뻐? 어어 예뻐 예뻤어.
예쁜 아이 예쁜 아이가 예쁠까?
아~ 예쁜 아이를 낳고 난 후에 어머님이 좋아하시는 게 괜찮은"
124,E64," 그리고 내가 너의 마음을 사로잡는 것은 네게 좋은 사람일 테고 너한테 잘해줄 거야.
아빠. 내가 뭘 잘할까 봐 걱정하고 있을"
125,E62," 그걸 다 믿는다니. 그리고 내가 이 여자 때문에 이 남자가 정말 사랑할까, 아니면 사랑받을까? 이런 생각을 해본 적이 없잖어.""
이제 막"
126,E62," 그런데 그 남자는 왜 이렇게 삐죽거릴까?
어느날 내가 넌 누구냐는 질문에 그 남자는 왜 삐져있었냐고 물었단다네. 그"
127,E62," 내가 왜 그래. 너한테 왜 이러는지. 너한테 너무 집착하는 게 너무 싫어.""
""아냐, 그게. 난, 그"
128,E62," 하지만 나는 그 여자랑 결혼을 해야 하는 거야.""
아무리 그래도 난 그런 여자 앞에서 내 생각을 할 수밖에 없는 거야.
그런 생각을 하면서 내 마음 속에 있던 내 마음 속의 한 가지 생각이 스"
129,E68,"""라며 ""앞으로도 계속 열심히 하겠다. 앞으로 더 잘 할 거니까 열심히 하겠어.""
그날, 나는 '내가 이 세상에서 최고의 친구야' 라는 주제로 자신의 인생 이야기를 풀어내려고 노력"
130,E68,"""라며 ""그렇게 기분이 좋을 수는 없지 않습니까""라고 말했다.
그러면서 그는 '내년 총선과 대선이 어떻게 될 것인지'를 물었다.</d> 박원순(55·사진)은 ‘20"
131,E68,"""
이미 결혼에 성공한 사람이 결혼을 하지 않는 이유는 무엇일까.
아무것도 모르고 결혼에 대한 두려움을 떨치기 어려웠던 나는 결혼을 하지 않는 이유가 왠지는"
132,E68,"""(""이혼하고 싶은가??""
이렇게 대답하는 건 처음이어서 당황스러웠습니다.
이렇게 해서 결혼을 한 사람은 한 번도 아니고요.
그렇게 되면 이혼하는"
133,E68," 나, 너한테 잘해줘야 돼!"" (...)
그리고 결혼식을 올린 지 얼마 후 쯤에는 ""너, 너 결혼 못 하겠냐"
134,E68,"!"" 라고 말했다.
그런데 이 친구가 그 말을 하자 갑자기 울음이 나왔다.
""그냥 웃는 건가 봐! 그 친구가 <unk>랑 썸타는 것 같다고. 너는 그"
135,E67," 정말 좋은 남자 친구가 될 수 있어서 너무 기쁩니다
그리고 제가 또 한 가지 또 얘길 했었거든요.
저는 정말 그 여자 친구에 대해 굉장히 많은 얘길 해주고"
136,E67," 내가 지금 이 나이에 뭐라고 할 수가 있나.
어떻냐면은 내 나이 삼백육십이 넘었는데 이게 뭐~ 이게 무슨 뭐야. 그게 이제 내"
137,E63," 하지만 난 내 연인을 위해 사랑을 하는 것이 아니라, 내 자신을 위하여 연인과 사랑을 할 때 그 사랑의 감정을 느낄 거라구.” 이 말을 듣게 되면 연인과 연인이 함께 있을 때의 감정이"
138,E61," 아까 우리 아빠한테 전화 한 통을 하더니 전화기를 들고 왔는데. 전화기를 가지고 왔지?""
그녀는 고개를 숙였다.
아까 전화기에서 나온 전화기에 그녀가 고개를 들었다.
""그랬"
139,E61," 그걸 어떻게 할 수 있었지?
나는 넌 뭘 할 거야? 내가 너에게 한 말이 뭐지.
내가 네게 무슨 일이 있어도 널 지켜줄게!
그렇게 말해놓고도 뭘 어쩌"
140,E60,"!! <unk></d> 요즘에 많이 먹는 음식들 중에서 하나가 뭐예요?.
그런것들은 정말 맛도있고 뭔가를 더 먹고 싶은데
이렇게 맛있는 음식들 먹으면"
141,E66,"!
#2018 #미투#me#cat 까지!! ᄏᄏᄏᄏ#인스타데일링 <unk>korea #forstays?<unk>"
142,E66," 내가 좋아하는 영화야. 너는 내 영화야.
이제 그만 쉬어.
아빠가 뭔가를 해주실 거야. 엄마랑 아까 같이 햄스터"
143,E65," 그래서 내가 그녀에게 결혼하라고 설득을 한 거라고. 그래서 나는 그녀를 만나서 결혼할 생각이 없었거든.
그러면 나는 그게"
144,E67, 그래서 이제 이번에 또 연인끼리도 많이 사귀는 거 같아. 아까 우리 김보름 선배님이 얘기도 했는데 연애를 잘 안 하는 게 좋은 것
145,E69," 하지만 나는 이 세상에 단 한 사람만이 있는 것처럼 느껴지지. 내가 가진 것만으로도 충분하잖아.""
이런 말들이 계속되자 그는 다시 한번 자신의 마음을 털어 놓았다.
그리고는 자신의"
146,E66," 너는 나 때문에 마음이 아파. 내가 이렇게 고생했으니까 너도 나를 원망해 둬.""
나는 고개를 끄떡였다.
이렇게 말하니 내 마음은 더 무섭게"
147,E62," 내가 그 여자 친구와 잘 지내면 좋겠다고 생각해. 그 친구하고 잘 지내야 돼, 그 친구가 내 인생에 있어선 제일 큰 거니까 그 친구가 그"
148,E62," 내가 취직한 기업은 내 회사니까.""
그는 한 마디 덧붙였다.
'내 회사에 취직해 줄 사람이 어디 있어?
그런 건 상관없어요.' 그 말을 들은 후 나는 다시"
149,E64," 너랑 나만 잘 살래?
나한테 잘해줄게.
그게 다 너한테 미련이 없어서가 아니고 내가 너랑 나만 행복하면"
150,E68,"고, 그 아이는 이제부터 우리와 결혼해서 살게 되거든요~^^ ;ᄏ^^ 
그 아이는 이제 우리랑 살게 되는 것이다 ᄏᄒᄏᄏ
아기 엄마들이랑 우리 엄마들이 같이"
